2023-03-16 12:10:44 WARNING  PyNaCl is not installed, voice will NOT be supported
2023-03-16 12:10:44 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:45 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:45 DEBUG    Using proactor: IocpProactor
2023-03-16 12:10:45 INFO     logging in using static token
2023-03-16 12:10:45 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:45 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:46 INFO     Setup hook run!
2023-03-16 12:10:46 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:46 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:46 INFO     Loading cog/extension: cogs.AdminCommands
2023-03-16 12:10:46 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:47 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:47 INFO     Loaded cog/extension: cogs.AdminCommands
2023-03-16 12:10:47 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:47 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:47 INFO     Loading cog/extension: cogs.Commands
2023-03-16 12:10:47 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:48 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:48 INFO     e:\Scripts\KaspBot\cogs\Commands.py - Setting up...
2023-03-16 12:10:48 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:48 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:48 DEBUG    getMiscId > Looking for [miscIds] [guildID]
2023-03-16 12:10:48 DEBUG    getMiscId > 1085330631019479122
2023-03-16 12:10:48 DEBUG    adminSlash init ran
2023-03-16 12:10:48 INFO     Syncing tree...
2023-03-16 12:10:48 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:48 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:49 INFO     [<AppCommand id=1085334574009172049 name='purge' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172050 name='verify' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172051 name='unverified-scan' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172052 name='ticket-close' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172053 name='warn' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172054 name='unverified-kick' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172055 name='add-role' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172056 name='boop' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172057 name='hug' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1085334574009172058 name='lookup' type=<AppCommandType.chat_input: 1>>]
2023-03-16 12:10:49 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:49 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:49 INFO     Sync of tree complete!
2023-03-16 12:10:49 DEBUG    Starting new HTTPS connection (1): discord.com:443
2023-03-16 12:10:50 DEBUG    https://discord.com:443 "POST /api/webhooks/1085330776591171615/QrBYUKZLnu3UBxc-5CLQfbIn-cy4mBXjLatpPxWVKvQcgTiIu9kb_ayVPsW3auR__5UD HTTP/1.1" 204 0
2023-03-16 12:10:50 INFO     e:\Scripts\KaspBot\cogs\Commands.py - Done!
2023-03-16 12:10:50 DEBUG    Starting new HTTPS connection (1): discord.com:443
