2023-02-28 14:46:26 WARNING  PyNaCl is not installed, voice will NOT be supported
2023-02-28 14:46:26 INFO     logging in with: MTAzODY4NDk4OTEzMjM5MDQ3MA.G4ZP9A.2wTceSGIVbKCW39nGNaJK73pQdCPQVY6vwJ9wI
2023-02-28 14:46:26 DEBUG    Using proactor: IocpProactor
2023-02-28 14:46:26 INFO     logging in using static token
2023-02-28 14:46:27 INFO     Setup hook run!
2023-02-28 14:46:27 INFO     Loading cog/extension: cogs.AdminCommands
2023-02-28 14:46:27 INFO     Loaded cog/extension: cogs.AdminCommands
2023-02-28 14:46:27 INFO     Loading cog/extension: cogs.Commands
2023-02-28 14:46:27 INFO     c:\Users\tojos\Nextcloud\KasBot\Live Work\KaspBot\cogs\Commands.py - Setting up...
2023-02-28 14:46:27 INFO     Syncing tree...
2023-02-28 14:46:27 INFO     [<AppCommand id=1040491845316251670 name='purge' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1040491845316251672 name='verify' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1040491845316251673 name='unverified-scan' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1047771581281206313 name='ticket-close' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1077523306137260144 name='warn' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1077523306137260145 name='unverified-kick' type=<AppCommandType.chat_input: 1>>, <AppCommand id=1079940763057655868 name='boop' type=<AppCommandType.chat_input: 1>>]
2023-02-28 14:46:27 INFO     Sync of tree complete!
2023-02-28 14:46:27 INFO     c:\Users\tojos\Nextcloud\KasBot\Live Work\KaspBot\cogs\Commands.py - Done!
2023-02-28 14:46:27 INFO     Loaded cog/extension: cogs.Commands
2023-02-28 14:46:27 INFO     Loading cog/extension: cogs.LoopingFunctions
2023-02-28 14:46:27 INFO     c:\Users\tojos\Nextcloud\KasBot\Live Work\KaspBot\cogs\LoopingFunctions.py - Setting up...
2023-02-28 14:46:27 INFO     c:\Users\tojos\Nextcloud\KasBot\Live Work\KaspBot\cogs\LoopingFunctions.py - Done!
2023-02-28 14:46:27 INFO     Loaded cog/extension: cogs.LoopingFunctions
2023-02-28 14:46:27 INFO     Loading cog/extension: cogs.OnEvent
2023-02-28 14:46:27 INFO     c:\Users\tojos\Nextcloud\KasBot\Live Work\KaspBot\cogs\OnEvent.py - Setting up...
2023-02-28 14:46:27 INFO     c:\Users\tojos\Nextcloud\KasBot\Live Work\KaspBot\cogs\OnEvent.py - Done!
2023-02-28 14:46:27 INFO     Loaded cog/extension: cogs.OnEvent
2023-02-28 14:46:27 INFO     Cogs initialized!
2023-02-28 14:46:27 INFO     Waiting for websocket
2023-02-28 14:46:28 INFO     Shard ID None has connected to Gateway (Session ID: 2ff7bce10d4da343c3fe9fefe14e82a9).
2023-02-28 14:46:30 INFO     Connected as KaspBot#9720
2023-02-28 14:46:30 INFO     Starting up...
2023-02-28 14:46:30 INFO     Init of Reaction Role Classes Complete!
2023-02-28 14:46:30 INFO     Ready!
2023-02-28 14:46:37 WARNING  You are on cooldown. Try again in 58.00s
2023-02-28 14:46:37 DEBUG    <class 'discord.app_commands.errors.CommandOnCooldown'>
